id,name,address,city_id
425,Grange Langham Court Hotel,31 35 Langham Street Westminster Borough  W1W 6BU ,1
426,Radisson Blu Edwardian Hampshire,31 36 Leicester Square Westminster Borough  WC2H 7LH ,1
427,Four Seasons Hotel George V Paris,31 Avenue George V 8th arr 75008  ,2
428,The Marble Arch London,31 Great Cumberland Place Westminster Borough  W1H 7TA ,1
429,H tel Fabric,31 rue de la Folie M ricourt 11th arr 75011  ,2
430,H tel du Minist re,31 Rue de Surene 8th arr 75008  ,2
431,Shangri La Hotel at The Shard London,31 St Thomas Street Southwark  SE1 9QU ,1
432,Hotel Les Bulles De Paris,32 rue des Ecoles 5th arr 75005  ,2
433,Acad mie H tel Saint Germain,32 rue des Saints P res 7th arr 75007  ,2
434,Plaza Tour Eiffel,32 Rue Greuze 16th arr 75016  ,2
435,Park Grand London Kensington,33 37 Hogarth Road Kensington and Chelsea  SW5 0QQ ,1
436,Rocco Forte Brown s Hotel,33 Albemarle Street Mayfair Westminster Borough  W1S 4BP ,1
437,Royal Hotel Champs Elys es,33 avenue de Friedland 8th arr 75008  ,2
438,Best Western Allegro Nation,33 Avenue Du Docteur Arnold Netter 12th arr 75012  ,2
439,Prince de Galles a Luxury Collection hotel Paris,33 avenue George V 8th arr 75008  ,2
440,The Beaufort,33 Beaufort Gardens Kensington and Chelsea  SW3 1PP ,1
441,H tel La Parizienne by Elegancia,33 Boulevard du Montparnasse 6th arr 75006  ,2
442,Madeleine Plaza,33 place de la Madeleine 8th arr 75008  ,2
443,Blakes Hotel,33 Roland Gardens Kensington and Chelsea  SW7 3PF ,1
444,Castille Paris Starhotels Collezione,33 Rue Cambon 1st arr 75001  ,2
445,H tel D Aubusson,33 Rue Dauphine 6th arr 75006  ,2
446,Hotel Oscar,33 rue Marbeuf 8th arr 75008  ,2
447,Best Western Bretagne Montparnasse,33 rue Raymond Losserand 14th arr 75014  ,2
448,The Westbridge Hotel,335 337 High Street Stratford Newham  E15 2TF ,1
449,Courthouse Hotel Shoreditch,335 337 Old Street Hackney  EC1V 9LL ,1
450,ME London by Melia,336 337 Strand  Westminster Borough  WC2R 1HA ,1
451,Grange Clarendon Hotel,34 37 Bedford Place Bloomsbury Camden  WC1B 5JR ,1
452,Hotel Indigo London Kensington,34 44 Barkston Gardens Kensington and Chelsea  SW5 0EW ,1
453,Novotel Paris 17,34 Avenue Porte d Asni res 17th arr 75017  ,2
454,Rafayel Hotel Spa,34 Lombard Road Battersea  SW11 3RF ,1
455,Norfolk Towers Paddington,34 Norfolk Place Paddington Westminster Borough  W2 1QW ,1
456,Artus Hotel by MH,34 Rue de Buci 6th arr 75006  ,2
457,Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008  ,2
458,Timhotel Op ra Blanche Fontaine,34 Rue Fontaine 9th arr 75009  ,2
459,H tel Amastan Paris,34 rue Jean Mermoz 8th arr 75008  ,2
460,H tel Gustave,34 Rue Viala 15th arr 75015  ,2
461,Best Western Maitrise Hotel Edgware Road,346 348 Edgware Road Westminster Borough  W2 1EA ,1
462,Georgian House Hotel,35 39 St Georges Drive Westminster Borough  SW1V 4DG ,1
463,Best Western Tour Eiffel Invalides,35 Boulevard de la tour Maubourg 7th arr 75007  ,2
464,The Chesterfield Mayfair,35 Charles Street Mayfair Westminster Borough  W1J 5EB ,1
465,My Chelsea,35 Ixworth Place Kensington and Chelsea  SW3 3QX ,1
466,Eiffel Trocad ro,35 Rue Benjamin Franklin 16th arr 75016  ,2
467,Hotel Saint Petersbourg Opera,35 Rue Caumartin 9th arr 75009  ,2
468,H tel Champs lys es Plaza,35 Rue De Berri 8th arr 75008  ,2
469,Melia Paris Tour Eiffel,35 Rue Jean Goujon 8th arr 75008  ,2
470,Timhotel Op ra Grands Magasins,35 Rue La Bruy re 9th arr 75009  ,2
471,Dukes Hotel,35 St James s Place Westminster Borough  SW1A 1NY ,1
472,Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough  W1C 1BY ,1
473,Pestana Chelsea Bridge Hotel Spa,354 Queenstown Road Battersea  SW8 4AE ,1
474,Arbor Hyde Park,36 37 Lancaster Gate Westminster Borough  W2 3NA ,1
475,Mercure Paris Porte De Versailles Expo,36 38 Rue Du Moulin 92170  ,2
476,Great St Helen Hotel,36 Great st Helens City of   EC3A 6AP ,1
477,Hotel Whistler,36 rue de Saint Quentin 10th arr 75010  ,2
478,Hotel Georgette,36 rue du Grenier Saint Lazare 3rd arr 75003  ,2
479,Westside Arc de Triomphe Hotel,36 rue Pierre Demours 17th arr 75017  ,2
480,Etoile Saint Ferdinand,36 rue Saint Ferdinand 17th arr 75017  ,2
481,H tel Saint Marc,36 Rue Saint Marc 2nd arr 75002  ,2
482,United Lodge Hotel and Apartments,368 370 Green Lanes  N4 1DA ,1
483,H tel Le Walt,37 Avenue De La Motte Picquet 7th arr 75007  ,2
484,H tel Le Royal Monceau Raffles Paris,37 Avenue Hoche 8th arr 75008  ,2
485,Eccleston Square Hotel,37 Eccleston Square Westminster Borough  SW1V 1PB ,1
486,Nottingham Place Hotel,37 Nottingham Place Westminster Borough  W1U 5LT ,1
487,Hotel Claridge Paris,37 rue Fran ois 1er 8th arr 75008  ,2
488,Strand Palace Hotel,372 Strand Westminster Borough  WC2R 0JJ ,1
489,H tel L Echiquier Op ra Paris MGallery by Sofitel,38 rue de l Echiquier 10th arr 75010  ,2
490,H tel De Castiglione,38 Rue Du Faubourg Saint Honore 8th arr 75008  ,2
491,Hilton London Olympia,380 Kensington High Street Kensington and Chelsea  W14 8NL ,1
492,Grange Buckingham Hotel,39 40 Bedford Place Bloomsbury Camden  WC1B 5JT ,1
493,The Cleveland,39 40 Cleveland Square Westminster Borough  W2 6DA ,1
494,Dorset Square Hotel,39 40 Dorset Square Hotel Westminster Borough  NW1 6QN ,1
495,Edouard 7 Paris Op ra,39 Avenue de l Op ra 2nd arr 75002  ,2
496,Renaissance Paris Arc de Triomphe Hotel,39 Avenue de Wagram 17th arr 75017  ,2
497,Rubens At The Palace,39 Buckingham Palace Road Westminster Borough  SW1W 0PS ,1
498,every hotel Piccadilly,39 Coventry Street Westminster Borough  W1D 6BZ ,1
499,Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea  SW7 4LH ,1
500,Novotel Suites Paris Expo Porte de Versailles,4 Boulevard Brune 14th arr 75014  ,2
501,K K H tel Cayr Saint Germain des Pr s,4 Boulevard Raspail 7th arr 75007  ,2
502,Fielding Hotel,4 Broad Court Bow Street Covent Garden Westminster Borough  WC2B 5QZ ,1
503,DoubleTree by Hilton Hotel London Marble Arch,4 Bryanston St Marble Arch Westminster Borough  W1H 7BY ,1
504,Holiday Inn London West,4 Portal Way Gypsy Corner A40  W3 6RT ,1
505,The Soho Hotel,4 Richmond Mews Westminster Borough  W1D 3DH ,1
506,Le Grand H tel de Normandie,4 rue  9th arr 75009  ,2
507,Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,4 rue Cadet 9th arr 75009  ,2
508,H tel de La Tamise Esprit de France,4 rue d Alger 1st arr 75001  ,2
509,Buddha Bar Hotel Paris,4 rue d Anjou 8th arr 75008  ,2
510,Le A,4 rue d Artois 8th arr 75008  ,2
511,Holiday Inn Paris Notre Dame,4 rue Danton 6th arr 75006  ,2
512,Mercure Paris Opera Garnier,4 Rue de L Isly 8th arr 75008  ,2
513,Maison Albar Hotel Paris Op ra Diamond,4 rue de la P pini re 8th arr 75008  ,2
514,Grand H tel Du Palais Royal,4 Rue De Valois 1st arr 75001  ,2
515,Best Western Aulivia Op ra,4 Rue des Petites Ecuries 10th arr 75010  ,2
516,Renaissance Paris Vendome Hotel,4 Rue Du Mont Thabor 1st arr 75001  ,2
517,Hotel Park Lane Paris,4 Rue La Boetie 8th arr 75008  ,2
518,Little Palace Hotel,4 rue Salomon de Caus 3rd arr 75003  ,2
519,Napoleon Paris,40 avenue de Friedland 8th arr 75008  ,2
520,Andaz London Liverpool Street,40 Liverpool Street City of   EC2M 7QN ,1
521,Novotel London Canary Wharf,40 Marsh Wall Tower Hamlets  E14 9TP ,1
522,H tel de Lille,40 rue de Lille 7th arr 75007  ,2
523,H tel Concorde Montparnasse,40 Rue du Commandant Ren Mouchotte 14th arr 75014  ,2
524,Suites H tel Helzear Montparnasse,40 rue Liancourt 14th arr 75014  ,2
525,Renaissance Paris Republique Hotel Spa,40 Rue Rene Boulanger 10th arr 75010  ,2
526,citizenM Tower of London,40 trinity square City of   EC3N 4DJ ,1
527,Chiswick Rooms,407 Goldhawk Rd Chiswick  W6 0SA ,1
528,Claridge s,41 43 Brook Street Westminster Borough  W1K 4HJ ,1
529,La Suite West Hyde Park,41 51 Inverness Terrace Westminster Borough  W2 3JN ,1
530,St James Court A Taj Hotel London,41 54 Buckingham Gate Westminster Borough  SW1E 6AF ,1
531,Elys es R gencia,41 Avenue Marceau 16th arr 75016  ,2
532,H tel De Sers Champs Elys es Paris,41 Avenue Pierre 1er de Serbie 8th arr 75008  ,2
533,Hotel le Lapin Blanc,41 boulevard Saint Michel 5th arr 75005  ,2
534,41,41 Buckingham Palace Road Westminster Borough  SW1W 0PS ,1
535,Shaftesbury Suites London Marble Arch,41 Great Cumberland Place Westminster Borough  W1H 7LG ,1
536,Grange Strathmore Hotel,41 Queens Gate Gardens Kensington and Chelsea  SW7 5NB ,1
537,H tel R de Paris Boutique Hotel,41 rue de Clichy 9th arr 75009  ,2
538,Villa Panth on,41 Rue Des Ecoles 5th arr 75005  ,2
539,Trinit Haussmann,41 rue Jean Baptiste Pigalle 9th arr 75009  ,2
540,The RE London Shoreditch,419 437 Hackney Road  E2 8PP ,1
